SA3_CODE16,Neighbour
10102,10105
10102,10104
10102,11401
10102,10106
10102,10103
10103,10102
10103,10104
10103,11302
10104,10102
10104,11401
10104,10103
10105,10301
10105,10102
10105,11401
10105,11402
10105,10302
10105,10106
10106,10105
10106,10102
10106,10302
10106,11303
10106,11302
10201,10202
10201,10601
10201,11503
10201,11502
10202,11102
10202,11101
10202,10601
10202,10201
10301,12401
10301,10303
10301,10105
10301,10302
10301,10304
10302,10301
10302,10105
10302,10501
10302,11301
10302,10503
10302,10304
10302,11303
10302,10106
10303,10601
10303,10604
10303,12401
10303,11503
10303,10301
10303,10503
10303,10304
10304,10303
10304,10301
10304,10302
10304,10503
10401,11001
10401,10402
10401,11002
10401,11202
10401,11201
10402,11001
10402,10802
10402,10401
10501,10502
10501,11301
10501,10302
10501,10503
10501,11003
10502,10902
10502,10501
10502,11301
10503,11004
10503,10604
10503,10303
10503,10501
10503,10302
10503,10304
10503,11003
10601,10202
10601,11102
10601,11103
10601,10602
10601,10603
10601,10801
10601,10604
10601,10805
10601,11503
10601,10201
10601,10303
10602,11103
10602,10603
10602,10601
10603,11103
10603,10602
10603,10801
10603,10601
10604,11004
10604,11001
10604,10601
10604,10805
10604,10303
10604,10503
10701,10703
10701,10704
10703,10701
10703,11401
10703,11402
10704,12802
10704,10701
10704,12302
10704,12303
10801,10603
10801,10601
10801,10805
10802,10804
10802,11001
10802,10402
10804,11001
10804,10802
10804,10805
10805,10804
10805,11001
10805,10801
10805,10601
10805,10604
10901,10903
10901,11303
10901,11302
10902,10502
10902,11301
10902,10903
10903,10902
10903,11301
10903,11303
10903,10901
11001,11004
11001,10804
11001,10802
11001,10402
11001,11002
11001,10401
11001,10604
11001,10805
11002,11004
11002,11001
11002,10401
11002,11202
11002,11003
11003,11004
11003,11002
11003,10501
11003,10503
11004,11001
11004,11002
11004,10604
11004,10503
11004,11003
11101,10202
11101,11102
11101,11103
11102,10202
11102,11101
11102,11103
11102,10601
11103,11102
11103,11101
11103,10602
11103,10603
11103,10601
11201,10401
11201,11202
11201,11203
11202,11002
11202,10401
11202,11201
11202,11203
11203,11202
11203,11201
11301,10502
11301,10902
11301,10501
11301,10302
11301,10903
11301,11303
11302,11303
11302,10901
11302,10106
11302,10103
11303,11301
11303,10302
11303,10903
11303,10901
11303,11302
11303,10106
11401,10703
11401,10105
11401,10102
11401,10104
11401,11402
11402,10703
11402,10105
11402,11401
11402,12303
11501,12502
11501,12601
11501,11504
11501,11502
11501,12102
11501,11602
11501,11601
11501,12504
11502,11504
11502,11503
11502,12102
11502,10201
11502,11501
11503,10601
11503,12401
11503,11504
11503,11502
11503,10201
11503,12404
11503,10303
11504,11503
11504,11502
11504,12404
11504,11602
11504,11501
11601,11603
11601,11602
11601,12503
11601,12504
11601,11501
11602,11504
11602,12404
11602,12403
11602,11603
11602,11601
11602,11501
11603,12403
11603,12405
11603,11602
11603,11601
11603,12503
11603,12702
11701,11702
11701,11703
11701,11802
11701,11904
11702,12002
11702,11701
11702,11703
11702,11902
11702,11904
11702,12003
11703,11702
11703,12002
11703,11701
11703,11802
11703,11801
11801,11703
11801,11802
11802,11701
11802,11703
11802,11801
11901,12501
11901,11903
11901,11902
11901,12003
11901,12802
11901,12503
11901,12702
11901,12703
11902,11702
11902,11901
11902,11903
11902,11904
11902,12003
11903,11901
11903,11902
11903,11904
11903,12801
11904,11702
11904,11701
11904,11903
11904,11902
12001,12501
12001,12003
12002,11702
12002,11703
12002,12003
12003,12501
12003,11702
12003,12002
12003,11901
12003,11902
12003,12001
12101,12103
12101,12602
12101,12104
12102,12103
12102,12601
12102,11502
12102,11501
12103,12601
12103,12602
12103,12102
12103,12203
12103,12101
12104,12101
12201,12203
12202,12203
12203,12103
12203,12202
12203,12201
12301,12302
12301,12701
12301,12303
12302,12802
12302,10704
12302,12701
12302,12703
12302,12301
12302,12303
12303,12403
12303,10704
12303,12302
12303,12701
12303,11402
12303,12301
12401,11503
12401,12404
12401,12403
12401,10303
12401,10301
12403,12401
12403,12404
12403,12405
12403,11603
12403,11602
12403,12702
12403,12701
12403,12303
12404,12401
12404,11504
12404,11503
12404,12403
12404,11602
12405,12403
12405,11603
12405,12702
12501,12502
12501,11901
12501,12001
12501,12003
12501,12503
12501,12504
12502,12501
12502,12601
12502,12602
12502,12504
12502,11501
12503,12501
12503,11901
12503,11603
12503,11601
12503,12504
12503,12702
12504,12502
12504,12501
12504,11601
12504,12503
12504,11501
12601,12502
12601,12103
12601,12602
12601,12102
12601,11501
12602,12502
12602,12103
12602,12601
12602,12101
12701,12403
12701,12702
12701,12302
12701,12703
12701,12301
12701,12303
12702,11901
12702,12403
12702,12405
12702,11603
12702,12503
12702,12701
12702,12703
12703,11901
12703,12802
12703,12702
12703,12302
12703,12701
12801,11903
12801,12802
12802,11901
12802,12801
12802,10704
12802,12302
12802,12703
